(0,0)
(1,0.29552)
(2,0.564642)
(3,0.783327)
(4,0.932039)
(5,0.997495)
(6,0.973848)
(7,0.863209)
(8,0.675463)
(9,0.42738)
(10,0.14112)
(11,-0.157746)
(12,-0.44252)
(13,-0.687766)
(14,-0.871576)
(15,-0.97753)
(16,-0.996165)
(17,-0.925815)
(18,-0.772764)
(19,-0.550686)
(20,-0.279415)
(21,0.0168141)
(22,0.311541)
(23,0.57844)
(24,0.793668)
(25,0.938)
(26,0.998543)
(27,0.96989)
(28,0.854599)
(29,0.662969)
(30,0.412118)
(31,0.124454)
(32,-0.174327)
(33,-0.457536)
(34,-0.699875)
(35,-0.879696)
(36,-0.980936)
(37,-0.994553)
(38,-0.919329)
(39,-0.761984)
(40,-0.536573)
(41,-0.263232)
(42,0.0336234)
(43,0.327474)
(44,0.592073)
(45,0.803784)
(46,0.943696)
(47,0.999309)
(48,0.965658)
(49,0.845747)
(50,0.650288)
(51,0.39674)
(52,0.107753)
(53,-0.190858)
(54,-0.472423)
(55,-0.711785)
(56,-0.887567)
(57,-0.984065)
(58,-0.992659)
(59,-0.912582)
(60,-0.750987)
(61,-0.522309)
(62,-0.246973)
(63,0.0504223)
(64,0.343316)
(65,0.60554)
(66,0.813673)
(67,0.949125)
(68,0.999793)
(69,0.961152)
(70,0.836656)
(71,0.637423)
(72,0.38125)
(73,0.0910228)
(74,-0.207337)
(75,-0.487175)
(76,-0.723494)
(77,-0.895188)
(78,-0.986915)
(79,-0.990485)
(80,-0.905578)
(81,-0.739779)
(82,-0.507896)
(83,-0.230646)
(84,0.0672088)
(85,0.359058)
(86,0.618834)
(87,0.823333)
(88,0.954285)
(89,0.999994)
(90,0.956376)
(91,0.827328)
(92,0.624377)
(93,0.365653)
(94,0.0742647)
(95,-0.223756)
(96,-0.501789)
(97,-0.735)
(98,-0.902554)
(99,-0.989487)
(100,-0.988032)
(101,-0.898319)
(102,-0.728361)
(103,-0.493341)
(104,-0.214252)
(105,0.0839745)
(106,0.3747)
(107,0.631954)
(108,0.83276)
(109,0.959176)
(110,0.999912)
(111,0.951329)
(112,0.817767)
(113,0.611154)
(114,0.349951)
(115,0.0574875)
(116,-0.240111)
(117,-0.516261)
(118,-0.746298)
(119,-0.909667)
(120,-0.991779)
(121,-0.985299)
(122,-0.890805)
(123,-0.716736)
(124,-0.478645)
(125,-0.197799)
(126,0.100716)
(127,0.390235)
(128,0.644898)
(129,0.841951)
(130,0.963795)
(131,0.999547)
(132,0.946013)
(133,0.807972)
(134,0.59776)
(135,0.334151)
(136,0.040694)
(137,-0.256398)
(138,-0.53059)
(139,-0.757383)
(140,-0.916522)
(141,-0.99379)
(142,-0.982287)
(143,-0.883037)
(144,-0.70491)
(145,-0.463816)
(146,-0.18129)
(147,0.11743)
(148,0.405663)
